"BusinessUnitID","AttribName","AllowMultiple","IsReadOnly","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","AttribTypeID"
"3","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","45"
"3","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","46"
"3","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","47"
"3","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","48"
"3","Particulate Emissions (mg/m3)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","49"
"3","Excess O2","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","50"
"3","Residual Carbon in Ash(%)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","51"
"3","NOx Emissions (ppm)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","52"
"3","Fuel Oil Viscosity (SSF)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","53"
"3","Technical Information","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","54"
"4","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","55"
"4","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","56"
"4","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","57"
"4","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","58"
"4","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","59"
"4","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","60"
"4","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","61"
"4","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","62"
"4","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","63"
"4","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","64"
"4","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","65"
"4","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","66"
"4","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","67"
"4","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","68"
"4","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","69"
"4","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","70"
"4","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","71"
"4","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","72"
"4","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","73"
"4","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","74"
"4","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","75"
"4","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","76"
"4","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","77"
"4","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","78"
"5","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","79"
"5","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","80"
"5","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","81"
"5","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","82"
"5","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","83"
"5","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","84"
"5","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","85"
"5","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","86"
"5","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","87"
"5","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","88"
"5","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","89"
"5","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","90"
"5","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","91"
"5","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","92"
"5","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","93"
"5","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","94"
"5","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","95"
"5","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","96"
"5","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","97"
"5","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","98"
"5","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","99"
"5","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","100"
"5","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","101"
"5","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","102"
