"BusinessUnitID","MarketID","SearchAttributeName","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","SearchAttribTypeID"
"4","10","High HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","39"
"4","10","Medium HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","40"
"4","10","Low HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","41"
"4","10","NF Products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","42"
"4","10","O/W Emulsifiers","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","43"
"4","10","W/O Emulsifiers","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","44"
"4","10","Non-Animal Derived","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","45"
"4","10","Liquid products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","46"
"4","10","Solid products (melting point < 40C)","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","47"
"4","10","Solid products (melting point > 40C)","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","48"
