"specific_name","ordinal_position","parameter_mode","parameter_name","data_type","character_maximum_length"
"sp__UpdateHeaderSideContentModule","13","IN","@ExternalLink2","varchar","300"
"sp__UpdateHeaderSideContentModule","14","IN","@PublishDate","datetime","0"
"sp__UpdateHeaderSideContentModule","15","IN","@ExpireDate","datetime","0"
"sp__UpdateHeaderSideContentModule","16","IN","@MarkedForDeletion","bit","0"
"sp__UpdateHeaderSideContentModule","17","IN","@WorkflowStatus","varchar","50"
"sp__UpdateHeaderSideContentModule","18","IN","@JobID","int","0"
"sp__UpdateHeaderSideContentModule","19","IN","@UserID","int","0"
"sp__UpdateImageModule","1","IN","@ImageModuleID","int","0"
"sp__UpdateImageModule","2","IN","@ImageID","int","0"
"sp__UpdateImageModule","3","IN","@ImageType","varchar","25"
"sp__UpdateImageModule","4","IN","@ImageOrder","int","0"
"sp__UpdateImageModule","5","IN","@ImagePath","varchar","500"
"sp__UpdateImageModule","6","IN","@Alt","varchar","200"
"sp__UpdateImageModule","7","IN","@Height","int","0"
"sp__UpdateImageModule","8","IN","@Width","int","0"
"sp__UpdateImageModule","9","IN","@PageID","int","0"
"sp__UpdateImageModule","10","IN","@ModuleType","varchar","50"
"sp__UpdateImageModule","11","IN","@ModuleOrder","int","0"
"sp__UpdateImageModule","12","IN","@ShowTitle","bit","0"
"sp__UpdateImageModule","13","IN","@PublishDate","datetime","0"
"sp__UpdateImageModule","14","IN","@ExpireDate","datetime","0"
"sp__UpdateImageModule","15","IN","@MarkedForDeletion","bit","0"
"sp__UpdateImageModule","16","IN","@WorkflowStatus","varchar","50"
"sp__UpdateImageModule","17","IN","@JobID","int","0"
"sp__UpdateImageModule","18","IN","@UserID","int","0"
"sp__UpdateProductGridModule","1","IN","@ProductGridModuleID","int","0"
"sp__UpdateProductGridModule","2","IN","@ModuleType","varchar","50"
"sp__UpdateProductGridModule","3","IN","@ProductGridTitle","varchar","50"
"sp__UpdateProductGridModule","4","IN","@ProductGridBlurb","text","2147483647"
"sp__UpdateProductGridModule","5","IN","@ModuleOrder","int","0"
"sp__UpdateProductGridModule","6","IN","@ShowTitle","bit","0"
"sp__UpdateProductGridModule","7","IN","@ProductGridID","int","0"
"sp__UpdateProductGridModule","8","IN","@ProductGridName","varchar","100"
"sp__UpdateProductGridModule","9","IN","@BusUnitID","int","0"
"sp__UpdateProductGridModule","10","IN","@ProductIDList","varchar","200"
"sp__UpdateProductGridModule","11","IN","@AttributeIDList","varchar","200"
"sp__UpdateProductGridModule","12","IN","@PublishDate","datetime","0"
"sp__UpdateProductGridModule","13","IN","@ExpireDate","datetime","0"
"sp__UpdateProductGridModule","14","IN","@MarkedForDeletion","bit","0"
"sp__UpdateProductGridModule","15","IN","@WorkflowStatus","varchar","50"
"sp__UpdateProductGridModule","16","IN","@JobID","int","0"
"sp__UpdateProductGridModule","17","IN","@UserID","int","0"
"sp__AddSideNavProdCategory","1","IN","@BusUnitID","int","0"
"sp__AddSideNavProdCategory","2","IN","@MarketID","int","0"
"sp__AddSideNavProdCategory","3","IN","@CategoryName","varchar","50"
"sp__DeleteSideNavProdCategory","4","IN","@WorkflowStatus","varchar","50"
"sp__GetSideNavProdCategoryByID","1","IN","@ProdCatID","int","0"
"sp__GetSideNavProdCategoryByID","3","INOUT","@MarketID","int","0"
"sp__GetSideNavProdCategoryByID","4","INOUT","@CategoryName","varchar","50"
"sp__GetSideNavProdCategoryByID","6","INOUT","@PublishDate","datetime","0"
"sp__GetSideNavProdCategoryByID","8","INOUT","@WorkflowStatus","varchar","50"
"sp__GetSideNavProdCategoryByID","9","INOUT","@LastModifiedDate","datetime","0"
"sp__GetSideNavProdCategoryByID","12","INOUT","@MarkedForDeletion","bit","0"
"sp__GetSideNavProdCategoryByID","13","INOUT","@FmtMarkedForDeletion","varchar","3"
"sp__GetSideNavProdCategoryByID","14","INOUT","@JobID","int","0"
"sp__GetSideNavProdCategoryByID","15","INOUT","@JobName","varchar","100"
"sp__GetSideNavProdCategoryByID","16","INOUT","@JobDescription","varchar","500"
"sp__UpdateSideNavItem","1","IN","@ID","int","0"
"sp__UpdateSideNavItem","3","IN","@Title","varchar","100"
"sp__UpdateSideNavItem","4","IN","@Description","varchar","500"
"sp__UpdateSideNavItem","5","IN","@URL","varchar","500"
"sp__UpdateSideNavItem","6","IN","@BusUnitID","int","0"
"sp__UpdateSideNavItem","7","IN","@MarketID","int","0"
"sp__UpdateSideNavItem","8","IN","@PageID","int","0"
"sp__UpdateSideNavItem","11","IN","@SectionID","int","0"
"sp__UpdateSideNavItem","12","IN","@PublishDate","datetime","0"
"sp__UpdateSideNavItem","14","IN","@MarkedForDeletion","bit","0"
"sp__UpdateSideNavItem","15","IN","@WorkflowStatus","varchar","50"
"sp__UpdateSideNavItem","16","IN","@JobID","int","0"
"sp__UpdateSideNavItem","17","IN","@UserID","int","0"
"sp__UpdateSideNavProdCategory","1","IN","@BusUnitID","int","0"
"sp__UpdateSideNavProdCategory","2","IN","@MarketID","int","0"
"sp__UpdateSideNavProdCategory","3","IN","@ProdCatID","int","0"
"sp__UpdateSideNavProdCategory","4","IN","@CategoryName","varchar","50"
"sp__UpdateSideNavProdCategory","5","IN","@CategoryOrder","int","0"
"sp__UpdateSideNavProdCategory","6","IN","@PublishDate","datetime","0"
"sp__UpdateSideNavProdCategory","7","IN","@ExpireDate","datetime","0"
"sp__UpdateSideNavProdCategory","8","IN","@MarkedForDeletion","bit","0"
"sp__UpdateSideNavProdCategory","9","IN","@WorkflowStatus","varchar","50"
"sp__UpdateSideNavProdCategory","10","IN","@JobID","int","0"
"sp__UpdateSideNavProdCategory","11","IN","@UserID","int","0"
"sp_NLT_PetrofermDataScripts","2","IN","@userId","int","0"
"sp__GetAppUserByUserName","1","IN","@UserName","varchar","256"
"sp__IsDuplicateUrlFriendlyName","1","IN","@FriendlyURL","varchar","500"
"sp__IsDuplicateUrlFriendlyName","2","IN","@PageID","int","0"
"sp__IsDuplicateUrlFriendlyName","3","INOUT","@IsDuplicate","bit","0"
"sp__AddDocumentModule","1","IN","@DocumentID","int","0"
"sp__AddDocumentModule","2","IN","@LinkText","varchar","100"
"sp__AddDocumentModule","3","IN","@SectionID","int","0"
"sp__AddDocumentModule","4","IN","@PageID","int","0"
"sp__AddDocumentModule","5","IN","@PublishDate","datetime","0"
"sp__AddDocumentModule","6","IN","@ExpireDate","datetime","0"
"sp__AddDocumentModule","7","IN","@MarkedForDeletion","bit","0"
"sp__AddDocumentModule","8","IN","@WorkflowStatus","varchar","50"
"sp__AddDocumentModule","9","IN","@JobID","int","0"
"sp__AddDocumentModule","10","IN","@UserID","int","0"
"sp__AddDocumentModule","11","INOUT","@DocumentModuleRelnID","int","0"
"sp__AddDocumentModule","12","INOUT","@PageModuleRelnID","int","0"
"sp__DeleteDocumentModule","1","IN","@DocumentModuleID","int","0"
"sp__DeleteDocumentModule","2","IN","@UserID","int","0"
"sp__DeleteDocumentModule","3","IN","@JobID","int","0"
"sp__DeleteDocumentModule","4","IN","@WorkflowStatus","varchar","50"
"sp__GetDocumentModuleByModId","1","IN","@ModId","int","0"
"sp__AddBusinessUnit","1","IN","@BusName","varchar","300"
"sp__AddBusinessUnit","2","IN","@DocAuth","bit","0"
"sp__AddBusinessUnit","3","IN","@PublishDate","datetime","0"
"sp__AddBusinessUnit","4","IN","@ExpireDate","datetime","0"
"sp__AddBusinessUnit","5","IN","@WorkflowStatus","varchar","50"
"sp__AddBusinessUnit","6","IN","@UserID","int","0"
"sp__AddBusinessUnit","7","IN","@ActiveFlag","bit","0"
"sp__AddBusinessUnit","8","IN","@MarkedForDeletion","bit","0"
"sp__AddBusinessUnit","9","IN","@JobID","int","0"
"sp__AddBusinessUnit","10","IN","@IsPetro","bit","0"
"sp__AddBusinessUnit","11","IN","@LogoImagePath","varchar","500"
"sp__AddBusinessUnit","12","IN","@LogoAltText","varchar","200"
"sp__AddBusinessUnit","13","IN","@LogoHeight","int","0"
"sp__AddBusinessUnit","14","IN","@LogoWidth","int","0"
"sp__AddBusinessUnit","15","INOUT","@LogoID","int","0"
"sp__AddBusinessUnit","16","INOUT","@BusUnitID","int","0"
"sp__AddDeploymentJob","1","IN","@UserID","int","0"
"sp__AddDeploymentJob","2","IN","@JobName","varchar","100"
"sp__AddDeploymentJob","3","IN","@JobDescription","varchar","500"
"sp__AddDeploymentJob","4","IN","@WorkflowStatus","varchar","50"
"sp__AddDeploymentJob","5","IN","@DeploymentDate","datetime","0"
"sp__AddDeploymentJob","6","IN","@ApprovedBy","int","0"
"sp__AddDeploymentJob","7","IN","@DeployedBy","int","0"
"sp__AddDeploymentJob","8","IN","@ReviewBy","int","0"
"sp__AddDeploymentJob","9","INOUT","@JobId","int","0"
"sp__AddDocumentModuleForPage","1","IN","@PageId","int","0"
"sp__AddDocumentModuleForPage","2","IN","@DocumentId","int","0"
"sp__AddDocumentModuleForPage","3","IN","@SectionId","int","0"
"sp__AddMarket","1","IN","@UserID","int","0"
"sp__AddMarket","2","IN","@JobID","int","0"
"sp__AddMarket","3","IN","@BusID","int","0"
"sp__AddMarket","4","IN","@MktName","varchar","300"
"sp__AddMarket","5","IN","@MktOrder","int","0"
"sp__AddMarket","6","IN","@PublishDate","datetime","0"
"sp__AddMarket","7","IN","@ExpireDate","datetime","0"
"sp__AddMarket","8","IN","@WorkflowStatus","varchar","50"
"sp__AddMarket","9","IN","@ActiveFlag","bit","0"
"sp__AddMarket","10","IN","@MarkedForDeletion","bit","0"
"sp__AddMarket","11","INOUT","@MktID","int","0"
"sp__AddProductAttribute","6","IN","@ExpireDate","datetime","0"
"sp__AddProductAttribute","7","IN","@MarkedForDeletion","bit","0"
"sp__AddProductAttribute","8","IN","@WorkflowStatus","varchar","50"
"sp__AddProductAttribute","10","IN","@UserID","int","0"
"sp__GetProductsByBU","2","IN","@LiveMode","int","0"
"sp__GetProductsByJobId","1","IN","@JobId","int","0"
"sp__AddURLRewritePath","1","IN","@PageID","int","0"
"sp__AddURLRewritePath","3","IN","@PublishDate","datetime","0"
"sp__AddSideNavProdCategory","4","IN","@CategoryOrder","int","0"
"sp__AddSideNavProdCategory","5","IN","@PublishDate","datetime","0"
"sp__AddSideNavProdCategory","6","IN","@ExpireDate","datetime","0"
"sp__AddSideNavItem","1","IN","@UserID","int","0"
"sp__AddSideNavItem","2","IN","@ProdCatID","int","0"
"sp__AddSideNavItem","3","IN","@Title","varchar","100"
"sp__AddSideNavItem","4","IN","@Description","varchar","500"
"sp__AddSideNavItem","5","IN","@URL","varchar","500"
"sp__AddSideNavItem","6","IN","@BusUnitID","int","0"
"sp__AddSideNavItem","7","IN","@MarketID","int","0"
"sp__AddSideNavItem","8","IN","@PageID","int","0"
"sp__AddSideNavItem","9","IN","@ItemOrder","int","0"
"sp__AddSideNavItem","10","IN","@Parent","int","0"
"sp__AddSideNavItem","11","IN","@SectionID","int","0"
"sp__AddSideNavItem","12","IN","@PublishDate","datetime","0"
"sp__AddSideNavItem","13","IN","@ExpireDate","datetime","0"
"sp__AddSideNavItem","14","IN","@WorkflowStatus","varchar","50"
"sp__AddSideNavItem","15","IN","@ActiveFlag","bit","0"
"sp__AddSideNavItem","16","IN","@MarkedForDeletion","bit","0"
"sp__AddSideNavItem","17","IN","@JobID","int","0"
"sp__AddSideNavItem","18","INOUT","@ID","int","0"
"sp__AddSideNavProdCategory","7","IN","@MarkedForDeletion","bit","0"
"sp__AddSideNavProdCategory","8","IN","@WorkflowStatus","varchar","50"
"sp__AddSideNavProdCategory","9","IN","@JobID","int","0"
"sp__AddSideNavProdCategory","11","INOUT","@ProdCatID","int","0"
"sp__DeleteSideNavProdCategory","1","IN","@ProdCatID","int","0"
"sp__GetSideNavByID","1","IN","@ID","int","0"
"sp__GetSideNavByID","2","IN","@LiveMode","bit","0"
"sp__AddWebPage","1","IN","@BusUnitID","int","0"
"sp__AddWebPage","2","IN","@MarketID","int","0"
"sp__AddWebPage","3","IN","@PageType","varchar","50"
"sp__AddWebPage","4","IN","@PageTitle","varchar","100"
"sp__AddWebPage","5","IN","@MetaKeywords","varchar","1500"
"sp__AddWebPage","6","IN","@MetaDescription","varchar","500"
"sp__AddWebPage","7","IN","@PassthroughURL","varchar","300"
"sp__AddWebPage","8","IN","@IsRequired","bit","0"
"sp__AddWebPage","9","IN","@IsReadOnly","bit","0"
"sp__AddWebPage","10","IN","@PublishDate","datetime","0"
"sp__AddWebPage","11","IN","@ExpireDate","datetime","0"
"sp__AddWebPage","12","IN","@WorkflowStatus","varchar","50"
"sp__AddWebPage","13","IN","@UserID","int","0"
"sp__AddWebPage","14","IN","@ActiveFlag","bit","0"
"sp__AddWebPage","15","IN","@MarkedForDeletion","bit","0"
"sp__AddWebPage","16","IN","@JobID","int","0"
"sp__AddWebPage","17","INOUT","@PageID","int","0"
"sp__DeleteBusinessUnit","1","IN","@BusUnitID","int","0"
"sp__DeleteBusinessUnit","2","IN","@UserID","int","0"
"sp__DeleteBusinessUnit","3","IN","@JobID","int","0"
"sp__DeleteBusinessUnit","4","IN","@WorkflowStatus","varchar","50"
"sp__DeleteDeploymentJob","1","IN","@UserID","int","0"
"sp__DeleteDeploymentJob","2","IN","@JobId","int","0"
"sp__DeleteMarket","1","IN","@MarketID","int","0"
"sp__DeleteMarket","2","IN","@UserID","int","0"
"sp__DeleteMarket","3","IN","@JobId","int","0"
"sp__DeleteMarket","4","IN","@WorkflowStatus","varchar","50"
"sp__DeleteMarket","5","IN","@MarkedForDeletion","bit","0"
"sp__DeleteProductAttribute","1","IN","@AttribTypeID","int","0"
"sp__DeleteProductAttribute","2","IN","@UserID","int","0"
"sp__DeleteProductAttribute","3","IN","@JobID","int","0"
"sp__DeleteProductAttribute","4","IN","@WorkflowStatus","varchar","50"
"sp__DeleteSideNavItem","1","IN","@ID","int","0"
"sp__DeleteSideNavItem","2","IN","@JobID","int","0"
"sp__DeleteSideNavItem","3","IN","@UserID","int","0"
"sp__GetSideNavByPageID","1","IN","@PageID","int","0"
"sp__GetSideNavByPageID","2","IN","@LiveMode","bit","0"
"sp__GetSideNavProdCategoryByID","2","INOUT","@BusUnitID","int","0"
"sp__GetActiveBusinessUnitsByUserID","1","IN","@UserID","int","0"
"sp__GetBusinessUnitByID","1","IN","@BusUnitID","int","0"
"sp__GetBusinessUnitByID","2","IN","@LiveMode","bit","0"
"sp__GetContentModule","1","IN","@PageId","int","0"
"sp__GetContentModule","2","IN","@LiveMode","bit","0"
"sp__GetDeploymentJobsByStatus","1","IN","@WorkflowStatus","varchar","50"
"sp__GetDocumentByID","1","IN","@DocID","int","0"
"sp__GetDocumentByID","2","IN","@UserID","int","0"
"sp__GetDocumentByID","3","IN","@URL","varchar","500"
"sp__GetDocumentByID","4","IN","@LiveMode","bit","0"
"sp__GetHeaderSideContentModule","1","IN","@PageId","int","0"
"sp__GetHeaderSideContentModule","2","IN","@LiveMode","bit","0"
"sp__GetImageModule","1","IN","@PageId","int","0"
"sp__GetImageModule","2","IN","@LiveMode","bit","0"
"sp__GetMarketsByBU","1","IN","@BusUnitID","int","0"
"sp__GetMarketsByBU","2","IN","@LiveMode","bit","0"
"sp__GetPageListByJobId","1","IN","@JobId","int","0"
"sp__GetProductAttributeByID","1","IN","@AttribTypeID","int","0"
"sp__GetProductAttributeByID","2","INOUT","@BusUnitID","int","0"
"sp__GetProductAttributeByID","3","INOUT","@AttribName","varchar","100"
"sp__GetProductAttributeByID","4","INOUT","@AllowMultiple","bit","0"
"sp__GetProductAttributeByID","5","INOUT","@FmtAllowMultiple","varchar","3"
"sp__GetProductAttributeByID","6","INOUT","@IsReadOnly","bit","0"
"sp__GetProductAttributeByID","7","INOUT","@FmtIsReadOnly","varchar","3"
"sp__GetProductAttributeByID","8","INOUT","@PublishDate","datetime","0"
"sp__GetProductAttributeByID","9","INOUT","@ExpireDate","datetime","0"
"sp__GetProductAttributeByID","10","INOUT","@WorkflowStatus","varchar","50"
"sp__GetProductAttributeByID","11","INOUT","@LastModifiedDate","datetime","0"
"sp__GetProductAttributeByID","12","INOUT","@LastModifiedBy","int","0"
"sp__GetProductAttributeByID","13","INOUT","@LastModifiedByName","varchar","150"
"sp__GetProductAttributeByID","14","INOUT","@FmtMarkedForDeletion","varchar","3"
"sp__GetProductAttributeByID","15","INOUT","@JobID","int","0"
"sp__GetProductAttributeByID","16","INOUT","@JobName","varchar","100"
"sp__GetProductAttributeByID","17","INOUT","@JobDescription","varchar","500"
"sp__GetProductAttributesByBU","1","IN","@BusUnitID","int","0"
"sp__GetProductAttributesByBU","2","IN","@LiveMode","bit","0"
"sp__GetProductDocumentsByGridID","1","IN","@GridID","int","0"
"sp__GetProductDocumentsByGridID","2","IN","@LiveMode","bit","0"
"sp__GetProductGridColumns","1","IN","@gridID","int","0"
"sp__GetProductGridColumns","2","IN","@LiveMode","bit","0"
"sp__GetProductGridModule","1","IN","@PageId","int","0"
"sp__GetProductGridModule","2","IN","@LiveMode","bit","0"
"sp__GetProductGridRows","1","IN","@gridID","int","0"
"sp__GetProductGridRows","2","IN","@LiveMode","bit","0"
"sp__AddSideNavProdCategory","10","IN","@UserID","int","0"
"sp__GetSideNav","1","IN","@BusId","int","0"
"sp__GetSideNav","2","IN","@LiveMode","bit","0"
"sp__DeleteSideNavProdCategory","2","IN","@UserID","int","0"
"sp__DeleteSideNavProdCategory","3","IN","@JobID","int","0"
"sp__DeletePage","1","IN","@PageID","int","0"
"sp__DeletePage","2","IN","@UserID","int","0"
"sp__LogError","1","IN","@SourceFileName","varchar","255"
"sp__LogError","2","IN","@SourceMethodName","varchar","255"
"sp__LogError","3","IN","@Message","text","2147483647"
"sp__LogError","4","IN","@StackTrace","text","2147483647"
"sp__LogError","5","IN","@Source","text","2147483647"
"sp__LogError","6","IN","@UserName","varchar","100"
"sp__LogError","7","INOUT","@ErrorID","int","0"
"sp__UpdateBusinessUnit","1","IN","@BusUnitID","int","0"
"sp__UpdateBusinessUnit","2","IN","@BusName","varchar","300"
"sp__UpdateBusinessUnit","3","IN","@DocAuth","bit","0"
"sp__UpdateBusinessUnit","4","IN","@PublishDate","datetime","0"
"sp__UpdateBusinessUnit","5","IN","@ExpireDate","datetime","0"
"sp__UpdateBusinessUnit","6","IN","@WorkflowStatus","varchar","50"
"sp__UpdateBusinessUnit","7","IN","@UserID","int","0"
"sp__UpdateBusinessUnit","8","IN","@ActiveFlag","bit","0"
"sp__UpdateBusinessUnit","9","IN","@JobID","int","0"
"sp__UpdateBusinessUnit","10","IN","@LogoID","int","0"
"sp__UpdateBusinessUnit","11","IN","@LogoImagePath","varchar","500"
"sp__UpdateBusinessUnit","12","IN","@LogoAltText","varchar","200"
"sp__UpdateBusinessUnit","13","IN","@LogoHeight","int","0"
"sp__UpdateBusinessUnit","14","IN","@LogoWidth","int","0"
"sp__UpdateDeploymentJob","1","IN","@UserID","int","0"
"sp__UpdateDeploymentJob","2","IN","@JobId","int","0"
"sp__UpdateDeploymentJob","3","IN","@JobDescription","varchar","500"
"sp__UpdateDeploymentJob","4","IN","@WorkflowStatus","varchar","50"
"sp__UpdateDeploymentJob","5","IN","@DeploymentDate","datetime","0"
"sp__UpdateDeploymentJob","6","IN","@ApprovedBy","int","0"
"sp__UpdateDeploymentJob","7","IN","@DeployedBy","int","0"
"sp__UpdateDeploymentJob","8","IN","@ReviewBy","int","0"
"sp__UpdateDeploymentJob","9","IN","@ActiveFlag","bit","0"
"sp__UpdateJobStatus","1","IN","@UserID","int","0"
"sp__UpdateJobStatus","2","IN","@JobId","int","0"
"sp__UpdateJobStatus","3","IN","@WorkflowStatus","varchar","50"
"sp__UpdateMarket","1","IN","@MktID","int","0"
"sp__UpdateMarket","2","IN","@MktName","varchar","100"
"sp__UpdateMarket","3","IN","@MktOrder","int","0"
"sp__UpdateMarket","4","IN","@PublishDate","datetime","0"
"sp__UpdateMarket","5","IN","@ExpireDate","datetime","0"
"sp__UpdateMarket","6","IN","@WorkflowStatus","varchar","50"
"sp__UpdateMarket","7","IN","@UserID","int","0"
"sp__UpdateMarket","8","IN","@ActiveFlag","bit","0"
"sp__UpdateMarket","9","IN","@JobID","int","0"
"sp__UpdateProductAttribute","1","IN","@UserID","int","0"
"sp__UpdateProductAttribute","2","IN","@BusUnitID","int","0"
"sp__UpdateProductAttribute","3","IN","@AttribTypeID","int","0"
"sp__UpdateProductAttribute","4","IN","@AttribName","varchar","100"
"sp__UpdateProductAttribute","5","IN","@AllowMultiple","bit","0"
"sp__GetSideNavProdCategoryByID","5","INOUT","@CategoryOrder","int","0"
"sp__GetSideNavProdCategoryByID","7","INOUT","@ExpireDate","datetime","0"
"sp__GetSideNavProdCategoryByID","10","INOUT","@LastModifiedBy","int","0"
"sp__GetSideNavProdCategoryByID","11","INOUT","@LastModifiedByName","varchar","150"
"sp__UpdateSideNavItem","2","IN","@ProdCatID","int","0"
"sp__UpdateSideNavItem","9","IN","@ItemOrder","int","0"
"sp__UpdateSideNavItem","10","IN","@Parent","int","0"
"sp__UpdateSideNavItem","13","IN","@ExpireDate","datetime","0"
"sp_NLT_AddCommonColumnsToTables","1","IN","@execute","bit","0"
"sp_NLT_BuildPetrofermFromScratchOnlyPetroData","1","IN","@are_you_sure","bit","0"
"sp_NLT_BuildPetrofermFromScratchOnlyPetroData","2","IN","@uid","int","0"
"sp_NLT_FindProcsContaining","1","IN","@search","varchar","100"
"sp_NLT_GenericProcWithCursor","1","IN","@parameters_here1","int","0"
"sp_NLT_GenericProcWithCursor","2","IN","@parameters_here2","int","0"
"sp_NLT_GetDeploymentRecords","1","IN","@job","varchar","50"
"sp_NLT_GetDeploymentRecords","2","IN","@deployedBy","varchar","100"
"sp_NLT_RemoveDefaultFacility","1","IN","@UserId","int","0"
"sp_NLT_TruncateDataFromNonLiveTables","1","IN","@are_you_sure","bit","0"
"sp_UTIL_BuildPetrofermLiveTables","1","IN","@remove","bit","0"
"sp_UTIL_DeployCMSContent","1","IN","@UserID","int","0"
"sp_UTIL_DeployCMSContent","2","IN","@JobID","int","0"
"sp_UTIL_RebuildLiveWebsiteWithData","1","IN","@are_you_sure","bit","0"
"sp_UTIL_RebuildLiveWebsiteWithData","2","IN","@UserID","int","0"
"sp_UTIL_RebuildLiveWebsiteWithData","3","IN","@JobName","varchar","100"
"sp_UTIL_RebuildLiveWebsiteWithData","4","IN","@JobDescription","varchar","500"
"sp_UTIL_RebuildLiveWebsiteWithData","5","IN","@DeploymentDate","datetime","0"
"sp_UTIL_RebuildLiveWebsiteWithData","6","IN","@WorkflowStatus","varchar","50"
"sp_UTIL_UpdateCMSContentFromLiveSiteByJobID","1","IN","@UserID","int","0"
"sp_UTIL_UpdateCMSContentFromLiveSiteByJobID","2","IN","@JobID","int","0"
"sp_UTIL_UpdateSideNavOrder","1","IN","@BusId","int","0"
"sp_UTIL_UpdateSideNavOrder","2","IN","@MktId","int","0"
"sp_UTIL_UpdateSideNavOrder","3","IN","@ProdCatId","int","0"
"sp_UTIL_UpdateSideNavOrder","4","IN","@SectionId","int","0"
"sp_UTIL_UpdateSideNavOrder","5","IN","@ID","int","0"
"sp_UTIL_UpdateSideNavOrder","6","IN","@ItemOrder","int","0"
"sp__GetMarketByID","3","INOUT","@BusUnitID","int","0"
"sp__GetMarketByID","4","INOUT","@MarketName","varchar","100"
"sp__GetMarketByID","6","INOUT","@WorkflowStatus","varchar","50"
"sp__GetMarketByID","7","INOUT","@MarkedForDeletion","bit","0"
"sp__GetMarketByID","8","INOUT","@FmtMarkedForDeletion","varchar","3"
"sp__GetMarketByID","9","INOUT","@PublishDate","datetime","0"
"sp__GetMarketByID","10","INOUT","@ExpireDate","datetime","0"
"sp__GetMarketByID","11","INOUT","@LastModifiedDate","datetime","0"
"sp__GetMarketByID","12","INOUT","@LastModifiedBy","int","0"
"sp__GetMarketByID","13","INOUT","@LastModifiedByName","varchar","150"
"sp_NLT_RollbackToCMSFromLiveSite_ProofOfConcept","1","IN","@are_you_sure","bit","0"
"sp__AddProductAttribute","4","IN","@IsReadOnly","bit","0"
"sp__AddProductAttribute","5","IN","@PublishDate","datetime","0"
"sp__AddProductAttribute","9","IN","@JobID","int","0"
"sp__GetProductsByBU","1","IN","@BusUnitID","int","0"
"sp__AddURLRewritePath","4","IN","@ExpireDate","datetime","0"
"sp__AddURLRewritePath","5","IN","@WorkflowStatus","varchar","50"
"sp__AddURLRewritePath","6","IN","@UserID","int","0"
"sp__AddURLRewritePath","7","IN","@MarkedForDeletion","bit","0"
"sp__AddURLRewritePath","8","IN","@JobID","int","0"
"sp__AddURLRewritePath","9","IN","@IsPetro","bit","0"
"sp__AddURLRewritePath","10","INOUT","@UrlRewriteID","int","0"
"sp_NLT_RebuildPetroWebsiteAndDeployAsIsContentToLIVE","1","IN","@UserID","int","0"
"sp__GetPageByID","1","IN","@PageId","int","0"
"sp__GetImageModuleByModId","1","IN","@ModId","int","0"
"sp__GetImageModuleByModId","2","IN","@LiveMode","bit","0"
"sp__AddProduct","1","IN","@BusUnitID","int","0"
"sp__AddProduct","2","IN","@ProductName","varchar","200"
"sp__AddProduct","4","IN","@ProductBlurb","varchar","2000"
"sp__AddProduct","5","IN","@ProductApprovals","varchar","2000"
"sp__AddProduct","7","IN","@ExpireDate","datetime","0"
"sp__AddProduct","8","IN","@MarkedForDeletion","bit","0"
"sp__AddProduct","9","IN","@WorkflowStatus","varchar","50"
"sp__AddProduct","10","IN","@JobID","int","0"
"sp__AddProduct","11","IN","@UserID","int","0"
"sp__AddProduct","12","INOUT","@ProductID","int","0"
"sp__AddProductAttributeReln","1","IN","@ProductID","int","0"
"sp__AddProductAttributeReln","2","IN","@AttribID","int","0"
"sp__AddProductAttributeReln","3","IN","@AttribValue","varchar","500"
"sp__AddProductAttributeReln","4","IN","@PublishDate","datetime","0"
"sp__AddProductAttributeReln","5","IN","@ExpireDate","datetime","0"
"sp__AddProductAttributeReln","6","IN","@MarkedForDeletion","bit","0"
"sp__AddProductAttributeReln","7","IN","@WorkflowStatus","varchar","50"
"sp__AddProductAttributeReln","9","IN","@UserID","int","0"
"sp__DeleteProductAttributeReln","1","IN","@ProdAttribRelnID","int","0"
"sp__DeleteProductAttributeReln","3","IN","@JobID","int","0"
"sp__GetProductAttributeRelnByID","1","IN","@ProdAttribRelnID","int","0"
"sp__GetProductAttributeRelnByID","2","INOUT","@AttribValue","varchar","500"
"sp__GetProductAttributeRelnByID","3","INOUT","@AttribID","int","0"
"sp__GetProductAttributeRelnByID","4","INOUT","@AttribName","varchar","100"
"sp__GetProductAttributeRelnByID","6","INOUT","@ExpireDate","datetime","0"
"sp__GetProductAttributeRelnByID","7","INOUT","@WorkflowStatus","varchar","50"
"sp__GetProductAttributeRelnByID","9","INOUT","@LastModifiedBy","int","0"
"sp__GetBusinessUnitsByJobID","1","IN","@JobID","int","0"
"sp__GetMarketsByJobID","1","IN","@JobID","int","0"
"sp__GetProductAttributesByJobID","1","IN","@JobID","int","0"
"sp__GetSearchAttributesByJobID","1","IN","@JobID","int","0"
"sp__GetDocumentModuleByModId","2","IN","@LiveMode","bit","0"
"sp__UpdateDocumentModule","1","IN","@DocumentModuleRelnID","int","0"
"sp__UpdateDocumentModule","2","IN","@DocumentID","int","0"
"sp__UpdateDocumentModule","3","IN","@LinkText","varchar","100"
"sp__UpdateDocumentModule","4","IN","@SectionID","int","0"
"sp__UpdateDocumentModule","5","IN","@PageID","int","0"
"sp__UpdateDocumentModule","6","IN","@PublishDate","datetime","0"
"sp__UpdateDocumentModule","7","IN","@ExpireDate","datetime","0"
"sp__UpdateDocumentModule","8","IN","@MarkedForDeletion","bit","0"
"sp__UpdateDocumentModule","9","IN","@WorkflowStatus","varchar","50"
"sp__UpdateDocumentModule","10","IN","@JobID","int","0"
