"DeploymentSqlID","DeploymentJobID","SqlStatement","ExecuteDate","ActiveFlag"
"16","1","update tblProductAttributeType_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblProductAttributeType_LIVE l where q.KeyNameValue = l.AttribTypeID and q.TableName = 'tblProductAttributeType' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"17","1","delete tblProductAttributeType from tblDeploymentQueue_U q, tblProductAttributeType cms where q.KeyNameValue = cms.AttribTypeID and q.DeploymentJobID = 1 and q.TableName = 'tblProductAttributeType' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"18","1","update tblProductAttributeType set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblProductAttributeType cms where q.KeyNameValue = cms.AttribTypeID and q.TableName = 'tblProductAttributeType' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"19","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblSearchAttribType', 'SearchAttribTypeID', SearchAttribTypeID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblSearchAttribType where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"20","1","delete tblSearchAttribType_LIVE from tblDeploymentQueue_U q, tblSearchAttribType_LIVE l where q.KeyNameValue = l.SearchAttribTypeID and q.DeploymentJobID = 1 and q.TableName = 'tblSearchAttribType' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"21","1","insert into tblSearchAttribType_LIVE select fn_a.BusinessUnitID, fn_a.MarketID, fn_a.SearchAttributeName, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.SearchAttribTypeID from tblSearchAttribType fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.SearchAttribTypeID and q.DeploymentJobID = 1 and q.TableName = 'tblSearchAttribType' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"22","1","update tblSearchAttribType_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblSearchAttribType_LIVE l where q.KeyNameValue = l.SearchAttribTypeID and q.TableName = 'tblSearchAttribType' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"23","1","delete tblSearchAttribType from tblDeploymentQueue_U q, tblSearchAttribType cms where q.KeyNameValue = cms.SearchAttribTypeID and q.DeploymentJobID = 1 and q.TableName = 'tblSearchAttribType' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"24","1","update tblSearchAttribType set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblSearchAttribType cms where q.KeyNameValue = cms.SearchAttribTypeID and q.TableName = 'tblSearchAttribType' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"25","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblUrlRewrite', 'UrlRewriteID', UrlRewriteID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblUrlRewrite where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"26","1","delete tblUrlRewrite_LIVE from tblDeploymentQueue_U q, tblUrlRewrite_LIVE l where q.KeyNameValue = l.UrlRewriteID and q.DeploymentJobID = 1 and q.TableName = 'tblUrlRewrite' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
